,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.13961206,-0.47584423,-0.2798886,2.1392674,-0.8684556,0.19313675,0.7679073,1.1774719,-0.16978383,-0.10022037,-2.2926822,-1.5395652,0.15252335,0.65930593,-0.5207453,-0.7880725,-0.84979004,1.2412543,0.022203181,1.4831909
0,0.40961108,-1.2848897,0.12785287,0.48379394,-0.027437318,-1.2076119,1.3731378,1.1690862,0.27580932,-0.0753852,-1.7486165,-0.79554296,-0.9851256,-0.5006029,0.18211097,-0.6842008,-0.5493427,2.8049421,-1.5042063,0.540331
0,0.5772383,-0.7219624,-0.14505987,1.5224476,0.9750751,-0.0800423,2.3223457,1.2637897,-1.0671993,0.010967682,-1.1144787,-0.8262698,0.91947156,1.4715779,0.5513419,0.7291271,1.1760473,2.077337,-0.20404647,0.62858117
0,-0.6692561,-0.5715968,-0.14298223,0.12030449,1.1982656,0.5048961,-0.3077078,1.3588341,0.88952315,0.33465022,-1.2973658,-0.05793011,0.148015,0.29118407,-0.34210208,-1.7240885,1.1239948,0.65715057,1.6591183,1.8483497
0,0.3503773,0.017076693,-0.27038318,0.901961,0.067628376,-2.8072603,0.16265585,0.47483578,0.3481399,-1.4826471,-2.5635254,-1.0198356,-0.34032422,1.0433253,1.5336274,-0.23065554,-1.4884905,1.081287,0.16296884,1.0323765
0,0.4069164,-1.0040139,0.15159413,2.1510303,-0.1606588,0.27300555,1.0014294,0.3540605,1.4260166,0.17656201,-1.6476882,-1.3264734,1.4408528,1.3916538,0.11061462,0.13836241,-1.0201168,1.5066434,-0.21944629,2.0729747
0,0.55806047,-0.16308354,1.0219976,1.4227513,0.14584276,-0.6206371,-0.58962995,1.6039796,-1.3559557,-0.053426217,-1.5673549,-1.1486424,-0.5442724,1.8415134,-0.79742247,-0.29359815,-0.12105634,1.3575113,-0.4724134,-0.23868528
0,1.202688,-0.50179315,-1.6444079,2.1532552,-1.0769291,0.20406179,-0.8478862,-0.050929572,0.22362459,1.1215043,-3.0316556,-0.66612613,-1.2030371,0.81365556,0.575913,1.1791409,-0.75575477,2.8790073,1.906148,2.4033144
0,-0.27460986,0.031386808,0.82295895,1.2900318,2.0820982,0.3888834,1.26217,0.6305037,0.85455555,-0.25870445,-1.9620323,-2.240382,-0.9824817,1.7675571,-1.5389441,0.8831021,-1.0069497,0.65399516,1.7215109,1.1436766
0,-0.7985255,-0.30864316,0.16948105,1.7825471,-0.25319308,-1.8963664,0.7079807,0.21984369,0.9942173,-0.59948784,-0.2657672,-1.1505513,0.715481,1.1259296,1.0951195,-0.3152578,-1.920033,1.1621245,0.15038054,-0.1663272
0,-0.27170175,-0.9045066,0.21755911,0.8462578,-0.7560552,-1.2151021,1.1856122,1.8107522,-0.9807642,2.5092218,-0.65834475,0.14603254,0.522511,1.7832733,-2.0189798,-0.7005306,-1.136987,3.6667426,-1.9906875,2.1241431
