,0,1,2,3,4,5,6,7,8,9
0,2.2403064,-1.4756057,-0.593018,-0.18605323,-1.2381212,-1.161201,2.8255024,0.10454782,-0.1626055,1.2440914
0,2.942392,-0.44565067,0.12652667,0.75525373,0.55192536,-1.1484553,2.5468404,0.97337306,0.36342514,-0.1445902
0,1.643001,-0.036200255,-0.63407266,0.19679649,1.2556353,-0.16538543,3.18731,0.7903758,-0.45814782,-0.27262813
0,-0.05124548,-1.3624507,-1.1314118,0.25574857,-0.74081427,0.042423192,0.695882,0.42936105,0.47414914,0.9673979
0,1.7156317,-0.50128454,-0.6276802,-0.14994124,-0.79268146,-2.2574317,2.0613968,1.9273173,-0.60440356,-1.4841087
0,2.7161214,-1.1007935,0.06416723,0.06773201,-1.6144925,-0.033174347,2.5915163,0.018368524,1.3653994,0.5004303
0,2.265558,-0.27968153,-0.27610144,-1.215884,0.78388786,-0.6115104,1.5925368,0.57552624,-1.3992589,-0.3360719
0,3.446498,-1.0043756,-1.9839374,-0.43840355,-2.713137,-1.3187714,1.9952391,-0.17584863,-1.0690641,-0.6129624
0,0.75089204,-2.027461,-1.3612968,-1.7552929,0.6794078,-1.2548189,2.4490151,-0.3601902,1.4819853,0.419359
0,2.1376863,0.17898785,0.20647807,0.35320556,-0.65753645,-0.8326411,1.8536247,1.5947604,-0.18710244,0.32108796
0,2.3349996,0.14679326,0.077991895,-2.1497667,-1.2651572,-0.9919294,3.4447331,0.78353775,0.13391106,2.112453
0,2.0443249,-1.2470073,-0.63799,-0.35631493,-1.722876,-1.7161573,2.1040783,-0.45507324,0.78926206,1.4495049
0,3.0845077,-0.15909629,0.9810226,0.22387639,-1.0300567,-0.7800601,2.7410634,0.24321245,1.4124278,1.6186836
0,2.2999017,-1.2849365,-0.44804528,0.36130643,-0.35087246,0.083786756,1.5093898,1.4771547,0.2023172,2.1738544
0,3.1215613,1.4714905,0.0413599,-0.04602802,-1.5476304,0.03053337,2.8288367,1.5112844,-0.39534736,0.5345266
0,2.491784,-1.8629905,-1.9686502,2.5663989,0.7611519,-1.5437416,2.726928,1.7082256,-0.4478543,1.2789334
0,2.083219,-2.4428434,-1.3172024,1.4385433,-0.2592859,-0.106107615,2.434031,0.8515798,-0.43244192,0.87366754
0,0.97705024,-1.7799891,0.67021704,0.5727152,-0.8944092,0.4629509,1.4643531,0.5233672,-0.161666,-0.4964858
0,0.60393685,-0.96886,-1.9624392,-0.6868398,-1.5213124,-2.4531636,2.7954142,-0.6523619,0.1850041,1.3625576
0,1.0354979,-1.8438964,0.11745627,-0.23109028,-1.5569446,0.5821634,0.021480981,-0.093798,-0.092701316,-0.20980729
0,2.7314208,-1.0377954,-0.5384425,-0.32738522,-1.3851058,-0.1848176,2.338669,-0.23601921,-0.21189901,1.2084756
0,2.6583903,0.43646538,2.1256359,0.6151773,-0.73228675,-0.59411824,1.7575163,0.577438,0.5491213,0.5066511
0,1.9627825,0.66764903,-0.8509386,-0.33872524,-0.1186403,-0.8054441,2.7853765,0.8220426,-1.6449054,0.528023
0,3.2239761,-0.13190542,-1.1265378,0.34527186,-1.720488,-0.77852345,2.3988514,2.38566,0.43900836,0.252906
0,2.4965205,-0.53711,0.6068966,-0.077992894,-1.6230887,-0.93872875,2.3309734,-1.3931234,2.0284045,1.6467856
0,3.1015496,-0.34535623,1.752418,0.13783745,-0.614932,-0.7089053,2.577151,-1.009488,-0.27383605,0.60556644
0,3.7455783,0.66470724,-0.28843644,-0.64046705,-1.4014156,-0.062054653,2.3572593,1.128298,-0.34994784,0.1876662
0,2.9166346,0.7853287,1.0764812,0.14506656,-0.30749518,-0.86210364,2.2959015,1.1268159,-0.76292783,1.2947679
0,2.1176488,0.10093458,-1.1432083,0.22917399,-0.0065627615,0.114542544,2.4828098,0.04012808,0.8665552,2.173863
0,3.9312694,-0.08921617,-1.1474452,-0.7458489,-1.634148,-1.6249768,2.9290028,2.5770807,0.5327912,-0.15805404
0,2.9136307,-1.1416588,-0.27098554,0.12642454,-0.1321233,0.14832497,3.5280929,0.8941861,-0.73250973,0.1750671
0,1.9275471,0.25070956,-0.47159633,0.664789,-1.9872842,-0.6873503,3.761698,-0.310146,1.041144,-1.475706
0,2.9099865,-1.2663132,-0.30976272,0.5900794,0.37147382,-0.648473,2.0021894,-0.051231537,-0.7152329,0.15887152
0,2.9333937,1.606872,0.3394276,1.2169594,-1.4948826,-0.7577385,1.3263689,-0.8164564,-0.05837182,-0.54981184
0,2.088265,0.5008028,1.6301006,-0.65548056,0.5199523,-0.57980084,3.311728,-0.44536576,1.2109334,0.75443125
0,0.98249805,-1.4764174,1.5820786,-0.782359,-0.4007871,-1.2604196,2.1549299,1.1757941,1.9877601,0.6621049
0,1.0251677,0.46444443,-0.8958511,1.524726,-1.3812493,-0.063704625,2.741261,0.743909,0.2808485,-0.16163747
0,1.3665304,-0.5640279,0.45851222,0.009998771,-2.4463353,-0.9940673,0.89318556,0.06419153,0.4427435,0.9770169
0,1.5428967,-0.68529,0.5322363,0.3344412,0.86747485,-1.2035238,2.9946084,1.049578,-0.14570123,0.5120208
0,0.31282544,-0.8161265,-1.167592,0.4119349,-1.679716,-1.8165877,1.1767071,-0.045323264,1.8549955,0.544042
0,0.46177417,-0.45052716,-0.43485528,1.0439389,-2.2815447,-1.3307743,2.2916484,-0.50450456,-0.4411342,0.50536096
0,1.8458929,-0.26305506,0.067055054,0.5241589,0.28612104,0.5163518,1.3289399,1.0656452,0.20816995,-0.19713925
0,3.5148687,-0.7663886,0.5138524,1.2500612,0.2279734,-0.9317311,3.3685286,1.5533664,-0.48832077,1.0282073
0,1.7016035,-0.10256636,0.8928615,0.44610107,0.12382715,-0.6782868,2.423216,1.9634664,-0.0853006,1.9611056
0,3.9085636,-1.1070219,-0.32085532,0.6024604,-1.2369329,-1.1197302,2.2976995,0.54907805,-0.268779,-0.59422505
0,1.8676476,-1.1329594,-1.4793645,0.7848754,0.7953187,-1.6679343,3.0569537,0.38130552,-0.016763482,1.4880909
0,1.4563289,-0.5149144,0.27331948,-0.3410994,0.11665372,-0.8207124,1.827252,0.18122901,-0.31546462,1.3553995
0,1.5561854,-1.683874,-0.89593565,-0.06317266,-1.7382598,-1.4513172,3.0768769,0.59786886,-0.05008705,2.2641943
0,0.42414075,-0.10076961,-0.0773396,0.8897251,0.2474839,0.5314744,2.3509483,-0.12094006,-0.6238725,0.69372386
0,2.6800272,-0.6195693,-0.4861254,0.19296679,-1.3071948,-0.8000686,2.703379,0.4913995,-1.0583928,0.6484223
0,1.8511938,-1.2629006,-0.59659356,0.008115232,-0.51373446,0.4520748,2.3147185,0.16759993,1.0488688,0.11522082
0,3.2868729,-0.71413803,0.6730112,0.34673378,-0.9406194,-0.027109222,2.770302,-0.50581187,0.7229351,1.1792617
0,1.7392839,-1.619133,-1.6891279,0.015002976,-0.849304,-0.06052386,3.5271173,0.9574434,-0.17092067,1.073165
0,1.7874994,-1.2932063,-0.23932458,0.14180227,-0.30276287,-1.0942829,2.2685475,0.976151,-0.04387103,-0.6030316
0,2.3328838,-0.8333407,0.92874086,-0.008086515,-0.79281014,-0.35863465,2.974828,0.02098061,-0.7559947,1.5445331
0,2.2673388,-0.35682887,-0.8263399,-1.068113,-1.5558974,-0.076893,3.7833703,0.4846947,-0.059135973,1.2871916
0,1.5816164,-0.6929189,-0.30414703,0.64759713,0.728492,-0.78770924,3.3591785,-0.91533715,1.5694863,0.6112174
